INDEX,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,What/song/are/you/singing/now?,Don't/you/change/your/address/every/day?,Does she/have to/go to/the/mart/to/check/points?,Who/do/you/think/can/swim/fastest?,Why don’t/you go/home/now/and/take/a/shower?,I didn't/know/what/fruit/to/buy/last/night.,He/hurt/his/leg/yesterday,Can/you/check/the/information?,Why/isn't/she/dancing/with/the/butterfly?,Why can't/you/give/me/a/bubble/gum/tonight?,Did/you/invite/him/to/your/birthday/party?,Can you/remember the/time when/they/stopped/by/my/office?,May/I/shout/in/your/room?,How/are/you/going/to/teach/math?,Wasn't there/the/full/moon/in/the/sky/yesterday?,Cross/the/cross/street/carefully!,She doesn’t/teach/me/how/to/make/a/sentence.,May/I/take/out/a/machine/gun?,How/can/she/beat/him/without/my/help?,"If/you/have/some/candies,/Give/me/one.",Do you/remember/that/boy/who/is/swimming/there?
1,I‘m/singing/a/sad/song,I/change/my/address/every/day,She has/to go/to/the/mart/to/check/points?,I/think/I/swim/fastest,Not/right/nowI/have/something/to/do.,You/could/have/asked/me,He/shouldn't/have/played/soccer,Why/is/your/dog/going/to/kick/you?,He/isn’t/meeting/the/greedy/movie/star,"In fact,/I don't/have a/bubble/gum/to/give/you.","Sorry,/I’ll/call/him/right/now",I can/remember the/time when/they/stopped/by/my/office.,You/may/shout/in/my/room,I‘m going/to/teach/math/with/a/baseball/bat.,There wasn't/the/full/moon/in/the/sky/yesterday?,Why/don't/you/monitor/the/spy/everyday!,Didn’t she/learn/how/to/throw/a/ball/far?,You/must/not/take/out/a/machine/gun.,Her/father/knows/how/to/beat/him,Can/you/wait/for/me/here/until/tomorrow?,I/don’t/rememberWho’s/that/boy?
2,Do you/have any/reason why/you’re/singing/a/sad/song?,Why/do/you/change/your/address/every/day?,She doesn't/have to/go to/the/mart/to/check/points?,Do you/think this/problem is/more/difficult/than/that/problem?,What/do/you/have/to/do?,Do/you/know/I’m/smarter/than/you?,He/should/have/stayed/at/home,I/can/cook/onions/in/the/kitchen,She's/taking/off/her/socks,Why are/you going/to/fight/against/the/goat/tonight.,You/don’t/have/to/do/that,I can’t/remember the/time when/they/stopped/by/my/office.,You/must/not/shout/in/my/room,I/think/nobody/will/learn/math/from/you.,When will/you teach/me/how/to/shoot/an/arrow?,Would/you/like/to/test/this/engine/oil?,Doesn’t/she/learn/how/to/catch/a/ball.,You/may/use/a/gas/gun,Nobody/can/beat/him,I/can/wait/for/you/here/until/tomorrow.,He/is/the/Olympic/gold/medalist
3,Don't ask/me the/reason why/I'm/singing/a/sad/song!,I/don't/want/you/to/know/her/house.,How/many/points/does/she/have?,I/can't/guess/which/problem/is/harder?,There/is/a/broken/sprinkler/on/the/ceiling.,Don't/worry/about/itIt's/none/of/your/business.,Her/silver/ring/wasn't/on/the/desk,I'm not/going/to/sleep/on/a/high/tree.,Where/is/she/going/now?,Because/the/goat/ate/my/newspaper/for/lunch.,He/is/sick/in/bed,It’s/raining/now,Do they/walk on/the/sidewalk/hand/in/hand/everyday?,What’s/wrong/with/him?,I don't/have time/to teach/you how/to shoot/an/arrow/today.,I/go/camping/by/camping/car/every/night.,I will/go/to/the/river/to/swim/tomorrow.,I want/to see/you/singing/on/a/rainy/day,Isn’t/she/typing/now?,I/want/to/teach/you/belly/dance/tomorrow.,I/see
4,"If you/don't tell/me/the/reason,/I’ll/pinch/you.",Nobody/knows/where/I/live,She/has/enough/points/to/buy/a/car.,How/old/are/you?,I didn’t/know/if/there/was/a/broken/taxi?,"His/nickname/was/'deer',/wasn't/it?",A/thief/must/have/stolen/it,Skip/music/class!,She/isn’t/helping/a/naked/octopus,Do you/want to/dance/with/me/or/my/brother?,What’s/the/matter/with/him?,You/had/better/prepare/an/umbrella,They walk/on/the/sidewalk/hand/in/hand/everyday.,I/don’t/know/what’s/wrong/with/him,I have/time to/teach you/how to/shoot/an/arrow/tomorrow.,I/really/envy/you,When do/you want/to/learn/the/recipe/from/him?,"If/it/rains/tomorrow,/I/will/surely/sing.",She/isn’t/typing/now,When/somebody/knocked/on/the/door,Can/you/see/a/girl/between/two/boys?
5,"In/fact,/my/mother/bought/two/puppies/yesterday.",What day/is/she/going/to/visit/your/house?,Though/he/doesn’t/change/his/mind.,Guess/how/old/I/am!,We/always/have/to/check/the/date/too.,"Right,/his/nickname/was/'deer'",If/I/made/a/flying/train/today,I/don't/copy/his/homework,Why/isn't/she/doing/her/best?,I want/to dance/with/you/on/the/round/table.,He said/he/took/a/shower/with/cold/water.,Don’t/worry!/I/will/stay/home/all/day.,They don't/walk on/the/sidewalk/hand/in/hand/everyday,Do/you/know/who/is/my/friend?,How long/will it/take/for/me/to/master/it?,Do you/have/to/finish/your/book/report/now?,I/don't/know/how/to/cook/eggs,How/many/rabbits/does/your/mother/catch/everyday?,I/think/knowing/myself/is/very/important,What/were/you/doing/at/that/time?,I/can/see/a/girl/between/two/boys.
6,Don't/you/like/puppies?,She is/going/to/visit/his/house/this/Sunday.,She/waits/for/him/everyday,I/guess/you/are/twenty/years/old,I really/don’t/want/to/die/in/a/fire.,Do you/want/me/to/do/it/for/you?,I/could/make/everybody/happy,Don't/you/drink/and/drive?,They/are/making/a/man/with/mud,I want/to/see/you/dancing/with/your/brother.,So/he/has/a/bad/cold,It’s/snowing/now!,Did/you/charge/your/car/yesterday?,I/don’t/know/who/is/your/friend,I don't/know how/long it/will/take/to/master/it,Let's stop/by his/office to/drink/a/cup/of/coffee!,When/were/you/born?,My/mother/catches/eight/rabbits/everyday,Does/he/always/come/here/on/time?,I/was/shouting/at/her,I will/dance/with/a/girl/between/two/boys.
7,I’m/crazy/about/puppies,"You can/take/me/to/that/outlet,/can't/you?",Doesn’t/he/draw/a/circle/with/his/finger?,You're/wrongI'm/fifty/years/old.,I want/you to/fix a/sprinkler/as/soon/as/possible.,I/want/you/to/do/it/for/me.,Have you/ever met/a lady/who has/a lot/of/golden/teeth?,I'm/going/to/break/the/broken/window,Why/aren't/you/doing/your/best?,Do/you/have/to/hate/me/forever?,Will/he/get/over/soon,Let’s/go/out/and/make/a/snowman!,I/charged/my/car/yesterday,Is/it/possible/to/use/your/car?,"If you/are/smart,/it/will/not/take/long.",Can't/you/speak/English/like/that/puppy?,I/was/born/in/2001,Eight/rabbits/are/caught/by/mother/everyday,If/it/rains/tomorrow,Why/were/you/shouting/at/her?,What/is/the/number/before/seven?
8,I/don't/understand/at/allTell/me/the/reason!,I/can’t/take/you/to/that/outlet,He/doesn't/draw/a/circle/with/his/finger.,"No kidding,/you/look/much/younger/for/your/age.",Does/she/have/to/apologize/to/you?,Where/did/you/hear/her/singing?,I’ve met/a lady/who has/a/lot/of/golden/teeth.,I/have/three/English/books/to/read,They/are/tickling/my/back,I/have/to/hate/you/forever,You/had/better/ask/his/doctor,I/want/to/have/a/snowball/fight,I/didn’t/charge/my/car/yesterday,It's/impossible/to/use/my/car,"If you/say/so,/I/had/better/give/up.",You/have/to/pass/the/speaking/test,Where/were/you/born?,Was/she/wrapping/his/math/book?,I don’t/have/to/go/to/a/school/picnic.,I/was/just/shouting/at/her,The/number/before/seven/is/six
9,Because/my/mother/loves/puppies/more/than/me.,I have/a/lot/of/things/to/do/now.,He/draws/a/circle/with/his/lips,Will you/buy/me/what/I/want/to/eat?,She/has/to/apologize/to/me,I/heard/her/singing/in/the/playground,I've never/met a/lady who/has a/lot/of/golden/teeth.,Do you/go/to/school/by/time/machine/everyday?,Aren't/we/burying/their/treasure?,I/don't/have/to/hate/you/forever,I/don’t/know/where/the/doctor/is/now.,Who do/you want/to/have/a/snowball/fight/with?,I/didn’t/have/time/to/charge/my/car.,Why/is/it/impossible/to/use/your/car?,Cheer up!/I/want/you/to/master/it/soon.,She/turns/up/the/volume/every/night,I/was/born/in/a/hospital/like/you,She was/wrapping/his/math/book/with/a/newspaper.,I/have/to/prepare/an/umbrella,Why/can’t/you/apologize/to/me?,What/is/the/day/after/Monday?
10,Why is/your/teacher/sleeping/on/the/tree/now?,What/does/she/have/to/eat/for/dinner?,Will/he/pop/the/balloon/to/give/you?,I'll/buy/you/what/you/want/to/eat.,Why/does/she/have/to/apologize/to/you?,I’ll/be/able/to/hear/her/singing/again.,Have you/ever seen/a barking/dog/under/the/half/moon?,How can/you/introduce/the/same/friend/to/me?,Isn't/he/going/down/the/stairs?,Will/you/learn/Korean/from/him?,Do you/have/to/wash/your/car/at/night?,It’s/blowing/now,Are they/going to/take/a/student/to/the/dentist?,My father/sold/it/to/buy/a/battery/pack.,What do/you/want/to/be/in/the/future?,What/do/you/want/to/eat/for/dinner?,Why/do/you/think/you/were/born?,You had/better sleep/now/to/get/up/early/tomorrow.,Does he/have/a/smoking/gun/to/give/me?,I/don’t/know/what/I/did/wrong,The/day/after/Monday/is/Tuesday
11,Because/he/doesn't/have/a/place/to/sleep.,She/has/to/eat/the/cabbage/for/dinner.,He/will/pop/the/balloon/to/give/me.,If/you/can't/buy/me/what/I/want,Because/she/didn’t/call/me/yesterday,Do you/want to/buy/the/cat/behind/the/tree.,I’ve seen/a/barking/dog/under/the/half/moon,Let's/go/to/the/festival/by/sports/car!,They/are/going/up/the/high/stairs,I’ll/learn/Korean/from/him,I don’t/have/to/wash/my/car/at/night?,What/are/they/doing?,They’re going/to/take/a/student/to/the/dentist.,Let's/cut/the/tree/with/a/knife!,Guess what/I/want/to/be/in/the/future!,Do/you/have/a/lot/of/money?,I/was/born/to/fight/against/you,I/can’t/sleep/well/these/days,He/has/a/smoking/gun/to/give/you,You/stepped/on/my/foot,What/is/the/day/between/Tuesday/and/Thursday?
12,Doesn't/he/make/a/lot/of/money?,Do/you/think/she/will/eat/this/cabbage?,He’ll/not/pop/the/balloon/to/give/me.,I/will/erase/your/phone/number/forever,You/really/misunderstand/her,I don't/want to/buy/the/cat/behind/the/tree?,I've never/seen a/barking/dog/under/the/half/moon.,Are/you/going/to/push/the/sofa/alone?,How’s/he/singing/the/difficult/song?,I’ll/not/learn/korean/from/him,How/will/you/go/to/the/Galaxy?,They/are/flying/a/kite,They aren't/going to/take/a/student/to/the/dentist.,"Sorry, I/don't have/a knife/to/cut/the/tree/with.",I/want/you/to/be/an/animal/doctor.,I/have/enough/money/to/pay/for/dinner.,Why/don’t/you/have/a/drink/after/work?,Two/trees/can/be/eaten/by/the/mouse.,He doesn’t/have/a/smoking/gun/to/give/you.,Did/I/step/on/your/foot?,The/day/between/Tuesday/and/Thursday/is/Wednesday.
13,He/makes/a/lot/of/money,There/is/no/choice,When/does/she/turn/up/the/volume?,Don‘t/scare/me/anymore!,She/left/her/phone/in/my/car/yesterday.,I just/want to/touch/the/cat/behind/the/tree.,Have you/ever seen/the/tomato/festival/that/he/saw?,Can/you/play/the/cello?,They're/going/to/her/house/now,Would you/like/to/drink/a/cup/of/coffee?,I’ll/go/to/the/Galaxy/by/shuttle/bus.,Can/I/join/them?,Is she/going to/give/the/best/gift/to/you?,Why don't/you use/a/saw/to/cut/the/tree?,Why?Is/your/panda/sick?,Can’t/you/wait/for/me/a/second?,Is/there/a/good/place/near/your/office?,How long/are/you/going/to/stay/in/Korea.,How/can/you/make/them/happy?,I’m/terribly/sorry,How/many/days/are/there/in/a/week?
