INDEX,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,makes&making& she& happier& hers,do&it& case,dances&on& he& monster&,did&he& wipe,beggar&began& scientist& club,exchanging&she& ski exchanges,dancing&dancer& ,it&eats& cold,goes&,he& farm& trouble,knows&he ,thinks,burns&,telling,learn&,forgot,didn't&,speaks&speaking& your& cat,changes&,she&let,pops&pan
1,dances&dancing&pug,does&stay&charge&,forsake&she&misuse&forgets,do&changer&server,undertake&he&mist&understands,selling&sells&neck,uses&him,let’s&talking&hers,your&peel&new,gives&rabbit,do&your&pushing,doesn't&,long&,go,tiring,go&,knowing&does&am&,your&making&sadly,sleeps&sleeping&can’t&slept,hose&can’t,can't&your.
2,goes&noon&,does&gives&my,printer&paper&prints&printing,does&here&he&join,wears&cold&skate&,fly&pull&knives,understands&sun,being&quite&quick&bee&queen,aredoing,touching&note&,draws&their&,knows&hand,go&is,gives&,dancing,pushes&,full&push&pulls&me&,meeting&meat&meets&,made&makes&your,copy&pull,fighting
3,touching&touches&brake&lose,calls&I&cell,it&the&beauty&banana,drank&drunk&hear,sweet&swap&swift&,chatting&chats&withshe,playing&she&,let's&crosses&liver&,gets&in&,walk&helping,bring&,,heat&,plays&you,teaches,full&,playing,plays,making&made,,drinks&or&drives
4,cloudy&meets,kicked&she&bell,made&an,driver&drinking&or&drives,busy&blood&brand,buying&buys&achin,change&challenged&hers,makes&move&beauty,your&eats&she,liking&she&likes,gave&does,glow&glove&didn’t&doesn’t,drives&,wakes&on 7&,gives&,built&,taste&let,fountain,built&,to&eats,dancing
5,opens&bug&widow,lie&plays&a,gave&me&hers,repent&recycle&regard,crowd&&crow&liver,stay&stupid&England,sing&,tired&again,has&had&moneys,lives&flag,knows&do&add,saving&saves&safe,do&he&,for&work&,sings,relationship,goes,close&,goes&me,can't&hose,removing&
6,forgot&forgets&he&nine&her,looks&to&he,interviews&she&today&place,taste&tap&tell,clover&closes&cloud&clever,take&test&tap&thefork,fighting,dreams&an&drain&drive&,swims&grass,winner&weary&,helping&,me&myself&,,challenge&widow,makes&,fixing&,makes&anger&made&his,cloud&crosses&leg,breaks&,flour&,washing&me
7,using&uses&they&tray&us,listening&frog&at,drain&cream&drama,plain&cozy&he,take&task&tastes&tasting,drink&drill&ablackcrown,lead&,gives&an,fool&aunts&helps,winter&sells,stole&yours&her,bag&bug&band,,swims&,steals&,monitoring&,this,fool&yours&folds&,often&mouse,lead,your&forgive&forgets
8,being&angod&cup,do&me&hear,joint&phone&clock,folds&you&arm,era&he&,tease&teaches&mess,pulls&do,forgive,take&around&,shebed,plain,couch&torch,,fast,goes,living&lives,eats&punch&eats&punch,fill&fuel&army,mime&,your&introduction&,I'm&trains
9,gives&me&,does&chick&do&me,us&uncle's&print&lumber,surprising&survey&surface&,using&him&&finder,close&crosses&,class&,team&had&has&an,does&did&myself&your,remembers&he&hand,rise&,didn't&remind&,,soup,gives&,using&,gave,downtown&apple&downloads,uses&wait,doesn't&wolf&walk&works,
10,calls&calling&pug&cell,did&brake&black&me,half&block&theword&,bye&soccer,engage&move&enjoys&enter,lead&reader&red,cuts&,helps&song&helping,knows&yours&knew,having&boot&some,feeling&cool&can’t,peel&fuel&new,go&,loving&,picture,doing&,no&steal,moves&,makes&your&sleepy,can't&fellow&may&follows,can't&your&teaches
11,changes&him&chance&he&nice,do&start&hand&in,often&agather&opera&,pink&an&lose&,cleans&parking&bark&,asking&asks&asked,they&we,dances&,eating,wish&me,your&riding&she,you&yourself&,their&,meat&,destroys,breaking,do&has&your&has,removes&smell,makes&your&present,sings&let&no&singing,listening
12,lives&living&river&life&a,does&shower&you&month,,carries&carried&,hiding&,shechair&tohissmellyroom&movie,buys&hose,swims&an&swimming,using&he,thinks&further,change&everyday,&dye&die,message&,liver,washing&,happily,do&swimmer&,writing&wall&writes,am&being&presto&present,doesn't&goes,cooking&boiling&
13,makes&mad,did&victory&vivid&I&,make&maker&mask&masks,chase&chaser&cheaper&,she&wrong&pace,she&hers&'play'&caller,introduces&my,often&widow,chair&chin&,misunderstanding&they&me&miss&their,has&cord,cheek&,making&,having,sleeps&,his&,having,movie&remove&your,being&am&report,yesterday,bakedpowder
14,touching&you&break&chock,does&loom&on&me,balling&story&kicks,fold&head,flight&,smart&starting&new,wears&word&do,did&beer,did&walk&hear,needs&today,she&do&,reporter&chin,,go&,,,often&do&opens&,clear&she,writing&a&interested,going&goes&to&house&place.,removing&in&today
15,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,
19,hers&happily&she&makes&making,looks&to&fan,prints&the&printing&that,holds&he&holder,remembers&parking&parks&par,clock&liner&no,remembers&she,changes&she&no,bottle&she&bothers,rider&she&biker,understands&she,box,god,light,that,sing,she&changes,did&chance&pose,am&tell,they,your&ears&gets&
20,dances&beautifully,listens&at&she&can’t,the&beauty&eats,chase&cheats,uses&money,asking&shame,beg,class&you&bike&leg,lier&,bring&,knows&he,me&she&does&misunderstood,goes,forgives,,cell,helps&swims,hides,cell&your&calls,studying&for&helps,has&had&boots
21,bike&going,sheep&his&tray,she&videos&without&piano&,drinks&smokes,cleaned&me,new&star,cup,cross&dear&this&dug,sleeps&bug,smokes&cap,recharging&nights,years&does&,cheek,cell,knows,kicks,goes,star&stay,moneys&seed&sells,goes,goes
22,touching&those&brown&lose,cheek&me&Monday&checks,pen&I&gives,changes&you,tastes&she&today,teeth&she,pepper,to&run&he,lives&then,steel&rang,caring&your,deed,chance,bell,living,drinks,your&understands&do&undermine,wakes,sleeps&ten,said,in
23,cloudy&met,often&you&month&opens,dreams&sand,listening&for,fighter&again,drew,they,hose,month&has,heel&tax&goes,wiper&,steel&dig,bell,driving,builds,sits,they,calling&calls,they&meets,forgot&forgive&store,rainy
24,opens&bigger&opening,plays&he&done&,forgets&starry&forgot,against&drive,hides&you,buyer&play,calls,help&looks,,me&feet&cool&feels,thinks&healthy,string&pish,merry,juicy&go,meat,stretch,doesn't&monitors,punch&cry,rides&I,drain&brand,checker&can&checks&don’t
25,forgot&hemember&forgets&forgetting,eats&bleed&to,place&makes&right,reply&storm&repent,does&doing&don’t&,exchanges&bed&no,change&my,pinch&your,needs&stool,cheek&meal&you,bell&threw,boxer&me,killer,ideal,teach,bed,light,tell&rude,rise,torch&can’t&touches,god
26,used&they&truck&boot&book,bleak&widow&breaks&bleak,leading&joint,coffee&me&coffee,close&stress&stress&straight,chatting&timer&times,,drain&you,chance&you,punch&fax&harden,has&you&hose,sing&teaches,sleeps,wit,uses,mine,listening,introduction&for,am&tell&may&taller,does&lone&your&,votes
27,being&an&godcandy,video&she&buy&friend,helper&stands,tester&he&powerful,wearing&lone&wears,seller&you,,sits&me&sat&in,wish&,knows&strong,cart&had,studies&likes,plan,sat,sells,your,sits,cancel&sells,korea&will&good,lover&bed,plays
28,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,
