1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
makes&making&she&happier&hers,do&it&case,,,,,,,,,,,,,,,,,,,
dances&dancing&pug ,does&stay&charge,,,,,,,,,,,,,,,,,,,
goes &noon,does&gives&my,,,,,,,,,,,,,,,,,,,
touching&touches&brake&lose,calls&I&cell,,,,,,,,,,,,,,,,,,,
cloudy&meets,kicked&she&bell,,,,,,,,,,,,,,,,,,,
opens&bug&widow,lie&plays&a,,,,,,,,,,,,,,,,,,,
forgot&forgets&he&nine&her,looks&to&he,,,                           ,,,,,,,,,,,,,,,,
using&uses&they&tray&us,listening&frog&at,,,,,,,,,,,,,,,,,,,
being&an god&cup,do&me&hear&,,,,,,,,,,,,,,,,,,,
gives&me&,does&chick&do&me,,,,,,,,,,,,,,,,,,,
calls&calling&pug&cell,did&brake&black&me,,,,,,,,,,,,,,,,,,,
changes&him&chance&he&nice,do&start&hand&in,,,,,,,,,,,,,,,,,,,
lives&living&river&life&a,does&shower&you&month,,,,,,,,,,,,,,,,,,,
makes&mad,did&victory&vivid&I,,,,,,,,,,,,,,,,,,,
touching&you&break&chock,does&loom&on&me,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
hers&happily&she&makes&making,,,,,,,,,,,,,,,,,,,,
dances&beautifully&,,,,,,,,,,,,,,,,,,,,
bike&going ,,,,,,,,,,,,,,,,,,,,
touching&those&brown&lose,,,,,,,,,,,,,,,,,,,,
cloudy&met,,,,,,,,,,,,,,,,,,,,
opens&bigger&opening,,,,,,,,,,,,,,,,,,,,
forgot&he&member&forgets&forgetting,,,,,,,,,,,,,,,,,,,,
used&they&truck&boot&book,,,,,,,,,,,,,,,,,,,,
being&an&god&candy,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
